Name;Type;Attack 1
Melee Attack;Blunt;30
Jumping Reload;Blunt;30
Wyvernheart Shot;Shot;9
Wyvernsnipe Shot(multiple times);Shot;20
Wyvernsnipe Explosion (S) (per Wyvernsnipe Hit);Blunt;38
Wyvernsnipe Explosion (M) (per Wyvernsnipe Hit;Blunt;49
Wyvernsnipe Explosion (L) (per Wyvernsnipe Hit);Blunt;81
Normal 1;Shot;10
Normal 2;Shot;20
Normal 3;Shot;32
Pierce 1;Shot;7
Pierce 2;Shot;7
Pierce 3;Shot;8
Spread 1;Shot;6
Spread 2;Shot;7
Spread 3;Shot;8
Sticky 1;Shot;12
Sticky 2;Shot;16
Sticky 3;Shot;19
Sticky Projectile;Shot;1
Cluster Bomb 1;Shot;19
Cluster Bomb 2;Shot;22
Cluster Bomb 3;Shot;28
Cluster Projectile;Shot;1
Recover 1;Shot;0
Recover 2;Shot;0
Poison 1;Shot;1
Poison 2;Shot;1
Paralysis 1;Shot;1
Paralysis 2;Shot;1
Sleep 1;Shot;1
Sleep 2;Shot;1
Exhaust 1;Shot;1
Exhaust 2;Shot;1
Flaming;Fire;5
Water;Fire;5
Freeze;Ice;5
Thunder;Thunder;5
Dragon;Dragon;2
Slicing Projectile;Shot;1
Slicing;Shot;6
Wyvern (Primary);Shot;70
Wyvern (Additional);Shot;16
Demon;Shot;0
Armor;Shot;0
Tranq;Shot;0
